Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,1496.09,1496.24,1398.07,1398.07,1904470000,0,0
2008-12-02,1423.85,1450.83,1399.88,1449.8,2056730000,0,0
2008-12-03,1416.03,1493.06,1414.04,1492.38,2240150000,0,0
2008-12-04,1465.77,1500.95,1426.41,1445.56,2020110000,0,0
2008-12-05,1426.93,1510.39,1404.8,1509.31,2177720000,0,0
2008-12-08,1541.44,1583.81,1536.71,1571.74,2290810000,0,0
2008-12-09,1546.54,1602.92,1538.25,1547.34,2246470000,0,0
2008-12-10,1563.66,1584.16,1542.08,1565.48,1955600000,0,0
2008-12-11,1548.47,1568.61,1501.7,1507.88,2018190000,0,0
2008-12-12,1482.55,1543.04,1478.03,1540.72,1869900000,0,0
2008-12-15,1544.16,1544.16,1491.36,1508.34,1677890000,0,0
2008-12-16,1526.06,1589.89,1526.0,1589.89,2180960000,0,0
2008-12-17,1568.88,1598.33,1560.05,1579.31,2111370000,0,0
2008-12-18,1583.17,1591.7,1535.38,1552.37,2092320000,0,0
2008-12-19,1572.75,1593.35,1557.05,1564.32,2651440000,0,0
2008-12-22,1562.17,1563.79,1503.66,1532.35,1629320000,0,0
2008-12-23,1539.37,1548.44,1512.54,1521.54,1331050000,0,0
2008-12-24,1525.15,1527.23,1516.15,1524.9,490990000,0,0
2008-12-26,1531.2,1532.13,1518.97,1530.24,592760000,0,0
2008-12-29,1529.54,1530.92,1493.45,1510.32,1186240000,0,0
2008-12-30,1521.18,1550.7,1517.26,1550.7,1374180000,0,0
2008-12-31,1550.87,1586.81,1548.88,1577.03,1521220000,0,0
2009-01-02,1578.87,1636.03,1571.98,1632.21,1438410000,0,0
2009-01-05,1621.48,1640.46,1604.63,1628.03,1816580000,0,0
2009-01-06,1642.37,1665.63,1636.25,1652.38,2137640000,0,0
2009-01-07,1621.63,1625.37,1588.2,1599.06,2020170000,0,0
2009-01-08,1590.25,1617.01,1584.28,1617.01,1968160000,0,0
2009-01-09,1617.05,1617.26,1569.87,1571.59,1907390000,0,0
2009-01-12,1573.45,1573.46,1528.0,1538.79,1763590000,0,0
2009-01-13,1537.42,1557.95,1527.47,1546.46,1965570000,0,0
2009-01-14,1521.71,1528.65,1485.26,1489.64,1919980000,0,0
2009-01-15,1489.46,1521.58,1456.72,1511.84,2507870000,0,0
2009-01-16,1532.47,1538.82,1490.35,1529.33,2235070000,0,0
2009-01-20,1520.76,1521.85,1440.86,1440.86,1989610000,0,0
2009-01-21,1466.4,1507.52,1444.9,1507.07,2120080000,0,0
2009-01-22,1470.85,1492.47,1444.08,1465.49,2286190000,0,0
2009-01-23,1440.78,1495.27,1434.08,1477.29,2210840000,0,0
2009-01-26,1479.98,1514.38,1470.81,1489.46,1815400000,0,0
2009-01-27,1494.12,1513.21,1488.81,1504.9,1784110000,0,0
2009-01-28,1530.48,1568.33,1530.03,1558.34,2122250000,0,0
2009-01-29,1537.47,1537.84,1505.7,1507.84,1932100000,0,0
2009-01-30,1519.46,1523.45,1472.51,1476.42,2054590000,0,0
2009-02-02,1460.85,1502.72,1460.51,1494.43,1987080000,0,0
2009-02-03,1499.59,1521.21,1479.42,1516.3,2049840000,0,0
2009-02-04,1517.19,1549.64,1508.87,1515.05,2197050000,0,0
2009-02-05,1498.59,1554.37,1495.52,1546.24,2511750000,0,0
2009-02-06,1547.0,1594.26,1545.85,1591.71,2389530000,0,0
2009-02-09,1590.74,1598.23,1576.1,1591.56,1906940000,0,0
2009-02-10,1578.02,1598.5,1520.56,1524.73,2443370000,0,0
2009-02-11,1531.58,1542.84,1509.35,1530.5,2236450000,0,0
2009-02-12,1510.17,1542.51,1495.34,1541.71,2428250000,0,0
2009-02-13,1539.72,1552.57,1530.05,1534.36,1990190000,0,0
2009-02-17,1489.12,1492.82,1467.79,1470.66,2335370000,0,0
2009-02-18,1480.65,1487.92,1454.46,1467.97,2029710000,0,0
2009-02-19,1478.55,1485.14,1442.53,1442.82,1991000000,0,0
2009-02-20,1427.03,1454.39,1416.96,1441.23,2526040000,0,0
2009-02-23,1452.58,1452.58,1386.68,1387.72,1977740000,0,0
2009-02-24,1399.37,1445.07,1395.11,1441.83,2339660000,0,0
2009-02-25,1428.76,1453.66,1404.54,1425.43,2345380000,0,0
2009-02-26,1436.85,1444.83,1391.47,1391.47,2301990000,0,0
2009-02-27,1376.56,1401.97,1372.42,1377.84,2393280000,0,0
2009-03-02,1356.13,1372.0,1322.13,1322.85,2033110000,0,0
2009-03-03,1341.42,1346.88,1312.98,1321.01,2338880000,0,0
2009-03-04,1340.38,1370.29,1333.88,1353.74,2305180000,0,0
2009-03-05,1332.38,1342.86,1298.33,1299.59,2325840000,0,0
2009-03-06,1310.59,1320.51,1268.54,1293.85,2443820000,0,0
2009-03-09,1284.84,1316.15,1265.52,1268.64,2037130000,0,0
2009-03-10,1288.95,1358.28,1288.95,1358.28,2359730000,0,0
2009-03-11,1364.8,1385.29,1352.6,1371.64,2169050000,0,0
2009-03-12,1367.78,1427.55,1355.05,1426.1,2392770000,0,0
2009-03-13,1427.03,1433.98,1408.26,1431.5,2022170000,0,0
2009-03-16,1445.27,1445.27,1402.48,1404.02,2099460000,0,0
2009-03-17,1409.67,1462.11,1405.32,1462.11,2073230000,0,0
2009-03-18,1454.44,1507.4,1448.67,1491.22,2764950000,0,0
2009-03-19,1509.06,1509.06,1475.49,1483.48,2323510000,0,0
2009-03-20,1488.15,1501.78,1448.78,1457.27,2394470000,0,0
2009-03-23,1491.26,1555.77,1482.15,1555.77,2172590000,0,0
2009-03-24,1535.68,1546.21,1515.63,1516.52,2009530000,0,0
2009-03-25,1527.59,1554.25,1487.94,1528.95,2431180000,0,0
2009-03-26,1549.4,1587.0,1545.21,1587.0,2535050000,0,0
2009-03-27,1564.12,1569.21,1543.43,1545.2,2071670000,0,0
2009-03-30,1516.79,1517.06,1484.98,1501.8,2020200000,0,0
