Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,54.62,54.62,48.62,49.28,129155,0,0
2008-12-02,48.85,50.25,46.82,46.96,217048,0,0
2008-12-03,47.76,48.1,46.26,46.79,233248,0,0
2008-12-04,47.0,47.27,43.36,43.67,217573,0,0
2008-12-05,43.78,44.47,40.5,40.81,232447,0,0
2008-12-08,41.64,44.7,41.55,43.71,327140,0,0
2008-12-09,44.05,44.57,41.83,42.07,289529,0,0
2008-12-10,42.4,46.17,41.89,43.52,240867,0,0
2008-12-11,44.05,49.12,43.28,47.98,362393,0,0
2008-12-12,47.0,47.51,43.32,46.28,317267,0,0
2008-12-15,46.77,50.05,44.1,44.51,291629,0,0
2008-12-16,44.95,46.53,42.56,43.6,256308,0,0
2008-12-17,43.75,45.5,39.88,40.06,259901,0,0
2008-12-18,40.32,40.9,35.98,36.22,174258,0,0
2008-12-19,34.76,37.5,32.4,33.87,95999,0,0
2008-12-22,42.79,43.44,39.5,39.91,194858,0,0
2008-12-23,39.55,40.65,37.79,38.98,149135,0,0
2008-12-26,35.7,38.03,35.6,37.71,93376,0,0
2008-12-29,38.4,42.2,37.53,40.02,64554,0,0
2008-12-30,40.01,40.39,37.93,39.03,150601,0,0
2009-01-02,43.72,46.74,41.05,46.34,188601,0,0
2009-01-05,47.04,49.28,45.56,48.81,184679,0,0
2009-01-06,48.4,50.47,47.6,48.58,258762,0,0
2009-01-07,48.41,49.09,42.41,42.63,331307,0,0
2009-01-08,42.63,43.63,40.54,41.7,306262,0,0
2009-01-09,42.45,42.7,39.38,40.83,312485,0,0
2009-01-12,40.55,40.8,37.48,37.59,277431,0,0
2009-01-13,37.49,39.5,36.1,37.78,272828,0,0
2009-01-14,38.72,39.45,35.52,37.28,340615,0,0
2009-01-15,37.34,37.99,33.2,35.4,311078,0,0
2009-01-16,35.28,36.87,34.18,36.51,179925,0,0
2009-01-20,36.14,39.55,32.7,38.74,97975,0,0
2009-01-21,40.91,44.43,40.24,43.55,354707,0,0
2009-01-22,44.21,45.1,40.41,43.67,276261,0,0
2009-01-23,43.26,47.0,41.4,46.47,317569,0,0
2009-01-26,46.05,48.59,45.25,45.73,269756,0,0
2009-01-27,45.65,47.49,41.41,41.58,277496,0,0
2009-01-28,41.99,43.6,40.6,42.16,308439,0,0
2009-01-29,42.22,42.32,40.18,41.44,291416,0,0
2009-01-30,41.65,43.44,41.02,41.68,245854,0,0
2009-02-02,42.22,42.25,39.83,40.08,237726,0,0
2009-02-03,40.28,41.17,39.65,40.78,263645,0,0
2009-02-04,40.93,41.92,39.74,40.32,244615,0,0
2009-02-05,40.3,41.25,39.46,41.17,254203,0,0
2009-02-06,41.0,42.68,38.6,40.17,229734,0,0
2009-02-09,39.88,42.43,39.42,39.56,518382,0,0
2009-02-10,39.76,41.8,37.35,37.55,317497,0,0
2009-02-11,38.15,38.47,35.65,35.94,359674,0,0
2009-02-12,35.92,36.25,33.55,33.98,315650,0,0
2009-02-13,34.36,38.25,33.81,37.51,326176,0,0
2009-02-17,37.81,38.49,34.45,34.93,281710,0,0
2009-02-18,35.02,36.22,34.13,34.62,153708,0,0
2009-02-19,34.75,39.85,34.59,39.48,73864,0,0
2009-02-20,38.86,39.5,36.91,38.94,82550,0,0
2009-02-23,39.73,41.49,37.87,38.44,244809,0,0
2009-02-24,38.1,40.13,37.65,39.96,285905,0,0
2009-02-25,39.92,42.83,39.4,42.5,238188,0,0
2009-02-26,42.39,45.3,42.27,45.22,323428,0,0
2009-02-27,44.59,44.91,42.55,44.76,287202,0,0
2009-03-02,44.34,44.49,39.84,40.15,274579,0,0
2009-03-03,40.1,42.07,39.44,41.65,245234,0,0
2009-03-04,41.38,45.76,41.04,45.38,241538,0,0
2009-03-05,45.42,45.7,42.86,43.61,319761,0,0
2009-03-06,43.61,46.3,43.45,45.52,228192,0,0
2009-03-09,45.76,48.83,44.97,47.07,306347,0,0
2009-03-10,47.25,48.32,45.33,45.71,390590,0,0
2009-03-11,45.57,46.04,42.08,42.33,289157,0,0
2009-03-12,42.73,47.22,42.51,47.03,339876,0,0
2009-03-13,47.21,48.14,45.6,46.25,316566,0,0
2009-03-16,45.2,47.63,43.62,47.35,221028,0,0
2009-03-17,47.06,49.82,46.53,49.16,240078,0,0
2009-03-18,48.67,49.87,46.92,48.14,214930,0,0
2009-03-19,49.73,52.25,48.78,51.61,125337,0,0
2009-03-20,51.06,52.13,50.3,51.06,96379,0,0
2009-03-23,52.13,54.05,51.62,53.8,180152,0,0
2009-03-24,53.83,54.06,52.45,53.98,229890,0,0
2009-03-25,53.73,54.18,51.86,52.77,212790,0,0
2009-03-26,52.84,54.66,52.76,54.34,283727,0,0
2009-03-27,54.0,54.28,51.64,52.38,196916,0,0
2009-03-30,52.25,52.25,48.11,48.41,181165,0,0
2009-03-31,48.64,50.0,47.77,49.66,222171,0,0
2009-04-01,48.96,48.96,47.26,48.39,240254,0,0
2009-04-02,48.45,52.87,48.45,52.64,234224,0,0
2009-04-03,52.36,53.9,51.02,52.51,270270,0,0
2009-04-06,52.4,53.6,49.81,51.05,212172,0,0
2009-04-07,51.39,51.82,48.4,49.15,228983,0,0
2009-04-08,48.47,51.3,47.37,49.38,254031,0,0
2009-04-09,49.96,52.45,49.72,52.24,352611,0,0
2009-04-13,52.0,52.15,48.84,50.05,294835,0,0
2009-04-14,49.96,51.12,48.85,49.41,290456,0,0
2009-04-15,49.16,50.79,48.91,49.25,284710,0,0
2009-04-16,49.7,50.48,49.11,49.98,228056,0,0
2009-04-17,49.93,51.37,49.41,50.33,196957,0,0
2009-04-20,50.16,50.31,45.44,45.88,137021,0,0
2009-04-21,45.26,47.2,43.83,46.51,89895,0,0
2009-04-22,48.68,49.09,47.7,48.85,287925,0,0
2009-04-23,48.49,49.92,48.37,49.62,238729,0,0
2009-04-24,49.65,51.75,49.06,51.55,227296,0,0
2009-04-27,51.45,51.45,48.01,50.14,230865,0,0
2009-04-28,50.1,50.19,48.55,49.92,265293,0,0
2009-04-29,49.25,51.42,49.12,50.97,186823,0,0
2009-04-30,50.79,51.94,50.21,51.12,234826,0,0
2009-05-01,50.95,53.65,50.43,53.2,208296,0,0
2009-05-04,52.62,54.64,52.56,54.47,248750,0,0
2009-05-05,54.46,54.83,53.5,53.84,229782,0,0
2009-05-06,54.12,56.47,53.57,56.34,234306,0,0
2009-05-07,56.3,58.57,55.46,56.71,334302,0,0
