Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-03-04,538.52,539.85,537.36,537.38,372100,0,0
2013-03-05,540.43,544.11,540.43,543.96,455100,0,0
2013-03-06,547.57,547.61,542.7,544.36,486300,0,0
2013-03-07,545.4,545.42,538.29,541.3,509600,0,0
2013-03-08,542.79,544.01,539.59,543.1,0,0,0
2013-03-15,556.63,556.63,553.42,554.81,0,0,0
2013-03-22,546.22,551.43,546.1,551.25,0,0,0
2013-04-05,556.92,558.29,543.57,547.51,0,0,0
2013-04-08,547.18,548.09,528.78,528.78,459600,0,0
2013-04-09,526.04,535.3,517.1,528.15,494100,0,0
2013-04-10,530.92,534.84,527.75,534.84,395900,0,0
2013-04-11,540.07,544.53,535.77,544.3,440500,0,0
2013-04-12,547.65,551.02,546.72,547.19,0,0,0
2013-04-15,550.09,554.31,549.64,553.99,417300,0,0
2013-04-16,548.45,558.95,548.33,558.95,437500,0,0
2013-04-17,562.5,563.39,556.65,558.54,467400,0,0
2013-04-18,556.61,558.93,551.1,551.1,416500,0,0
2013-04-19,549.78,551.06,540.16,541.46,448200,0,0
2013-04-25,564.64,565.83,559.0,559.4,0,0,0
2013-04-26,562.69,565.64,562.06,565.35,0,0,0
2013-04-30,570.24,570.28,562.31,563.87,0,0,0
2013-05-03,563.87,565.33,559.49,565.33,0,0,0
2013-05-10,574.51,574.51,569.44,569.7,0,0,0
2013-05-16,568.61,568.62,565.87,566.06,0,0,0
2013-05-24,572.26,574.07,569.42,574.06,0,0,0
2013-05-31,583.14,583.81,571.61,577.87,0,0,0
2013-06-05,560.38,560.56,549.09,549.09,0,0,0
2013-06-07,550.34,551.57,531.03,535.75,0,0,0
2013-06-14,545.98,546.55,534.31,536.04,0,0,0
2013-06-21,513.58,520.89,507.3,520.89,0,0,0
2013-06-28,516.63,519.65,514.63,519.06,0,0,0
2013-07-05,528.04,529.75,522.77,525.4,0,0,0
2013-07-12,530.37,532.48,528.23,532.47,0,0,0
2013-07-19,545.43,546.08,540.32,541.87,0,0,0
2013-07-26,543.87,545.33,542.51,545.31,0,0,0
2013-07-29,547.26,547.69,540.98,540.98,0,0,0
2013-07-30,542.86,546.43,542.64,546.43,366000,0,0
2013-07-31,548.72,554.65,547.78,554.31,354800,0,0
2013-08-01,557.68,557.79,549.52,549.52,328000,0,0
2013-08-02,553.24,554.65,549.67,551.76,336300,0,0
2013-08-05,553.68,556.92,553.32,556.6,342500,0,0
2013-08-06,558.38,558.95,554.98,557.36,347100,0,0
2013-08-07,556.94,559.14,554.73,554.73,352900,0,0
2013-08-08,556.93,558.01,555.06,555.3,341200,0,0
2013-08-09,556.79,557.1,553.65,554.93,349800,0,0
2013-08-12,555.15,555.46,549.13,550.25,376500,0,0
2013-08-13,552.06,552.52,548.51,550.85,459800,0,0
2013-08-14,553.6,554.38,550.87,550.87,419700,0,0
2013-08-16,544.77,549.79,544.6,548.79,397000,0,0
2013-08-19,550.75,551.22,549.35,550.49,396200,0,0
2013-08-20,550.0,551.46,537.56,537.57,516300,0,0
2013-08-21,540.21,540.71,523.93,530.54,503900,0,0
2013-08-22,524.87,525.06,514.64,517.64,461300,0,0
2013-08-23,523.55,529.38,523.55,529.19,321600,0,0
2013-08-26,532.43,533.91,532.37,533.73,332500,0,0
2013-08-27,533.5,533.94,523.92,524.39,384900,0,0
2013-08-28,514.59,519.8,511.65,517.44,387600,0,0
2013-08-29,520.93,523.19,520.36,520.37,301600,0,0
2013-08-30,522.11,523.04,515.83,516.74,399600,0,0
2013-09-02,518.62,525.19,518.62,525.18,0,0,0
2013-09-03,527.71,529.2,525.7,525.89,343800,0,0
2013-09-04,526.95,527.24,525.23,526.16,348300,0,0
2013-09-05,529.19,529.67,527.98,528.06,351600,0,0
2013-09-06,529.75,530.14,523.03,523.77,457600,0,0
2013-09-09,526.67,526.85,520.22,521.11,469200,0,0
2013-09-10,523.85,524.23,520.53,523.15,317300,0,0
2013-09-11,526.38,529.34,526.28,529.34,278300,0,0
2013-09-12,530.87,532.24,527.66,529.58,290200,0,0
2013-09-13,530.69,531.76,530.34,530.89,247200,0,0
2013-09-16,528.84,529.4,526.2,526.2,245500,0,0
2013-09-17,527.54,528.17,525.76,527.11,221800,0,0
2013-09-23,528.91,529.98,526.77,527.07,258500,0,0
2013-09-24,527.31,528.89,523.84,527.29,304100,0,0
2013-09-25,528.95,529.56,525.51,527.27,284300,0,0
2013-09-26,528.59,532.96,528.59,532.83,268900,0,0
2013-09-27,535.21,537.7,535.04,537.5,293700,0,0
2013-09-30,538.0,538.0,534.49,534.89,297000,0,0
2013-10-01,534.09,536.01,524.86,530.35,352700,0,0
2013-10-02,534.26,534.83,531.79,532.02,288900,0,0
2013-10-04,531.68,532.94,527.88,532.01,287100,0,0
