Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,1074.0,1083.01,1058.62,1058.62,627400,0,0
2008-12-02,1007.71,1038.41,1007.26,1023.2,421000,0,0
2008-12-03,1038.41,1038.41,1013.56,1022.67,478600,0,0
2008-12-04,1042.16,1042.16,997.0,1006.54,397400,0,0
2008-12-05,1017.48,1032.68,1008.3,1028.13,398600,0,0
2008-12-08,1041.41,1111.27,1037.64,1105.05,540400,0,0
2008-12-09,1116.09,1120.66,1092.49,1105.84,485000,0,0
2008-12-10,1112.44,1155.08,1105.71,1145.87,558800,0,0
2008-12-11,1145.06,1166.27,1135.5,1154.43,576000,0,0
2008-12-12,1128.66,1152.99,1089.94,1103.82,621600,0,0
2008-12-15,1138.42,1164.72,1138.42,1158.19,484800,0,0
2008-12-16,1148.68,1165.29,1137.05,1161.56,626400,0,0
2008-12-17,1190.09,1196.37,1146.04,1169.75,647400,0,0
2008-12-18,1183.38,1189.83,1164.6,1175.91,557400,0,0
2008-12-19,1174.24,1194.52,1171.38,1180.97,684800,0,0
2008-12-22,1189.85,1201.14,1167.63,1179.61,450400,0,0
2008-12-23,1168.15,1175.32,1140.13,1144.31,434800,0,0
2008-12-24,1140.08,1143.68,1113.17,1128.51,406400,0,0
2008-12-26,1128.54,1134.57,1108.86,1117.86,344800,0,0
2008-12-29,1109.4,1118.35,1084.26,1117.59,312000,0,0
2008-12-30,1124.6,1144.24,1121.32,1124.47,357600,0,0
2009-01-02,1132.87,1157.4,1118.84,1157.4,340600,0,0
2009-01-05,1180.98,1185.22,1166.66,1173.57,414600,0,0
2009-01-06,1183.52,1203.59,1179.94,1194.28,444000,0,0
2009-01-07,1198.85,1228.56,1195.2,1228.17,568400,0,0
2009-01-08,1212.7,1218.43,1195.15,1205.7,472200,0,0
2009-01-09,1214.5,1220.59,1179.06,1180.96,443200,0,0
2009-01-12,1170.69,1177.19,1150.41,1156.75,352600,0,0
2009-01-13,1147.99,1168.04,1133.94,1167.71,381200,0,0
2009-01-14,1161.01,1184.52,1151.8,1182.68,358600,0,0
2009-01-15,1138.47,1145.41,1108.15,1111.34,366200,0,0
2009-01-16,1120.69,1135.79,1109.69,1135.2,335600,0,0
2009-01-19,1146.09,1159.88,1141.31,1150.65,370000,0,0
2009-01-20,1136.16,1136.48,1115.07,1126.81,319200,0,0
2009-01-21,1087.43,1118.4,1085.72,1103.61,334400,0,0
2009-01-22,1125.22,1127.35,1106.74,1116.23,346800,0,0
2009-01-23,1105.43,1105.43,1087.66,1093.4,268000,0,0
2009-01-28,1123.23,1160.19,1122.33,1157.98,345200,0,0
2009-01-29,1165.82,1179.15,1160.75,1166.56,384600,0,0
2009-01-30,1147.57,1163.76,1144.52,1162.11,377000,0,0
2009-02-02,1145.87,1170.7,1136.37,1146.95,374400,0,0
2009-02-03,1152.94,1174.28,1137.83,1163.2,347600,0,0
2009-02-04,1183.22,1195.52,1176.1,1195.37,450000,0,0
2009-02-05,1187.05,1206.73,1177.88,1177.88,463400,0,0
2009-02-06,1199.17,1210.26,1190.67,1210.26,570600,0,0
2009-02-09,1224.44,1227.73,1199.93,1202.69,475600,0,0
2009-02-10,1215.05,1219.76,1186.33,1198.87,468400,0,0
2009-02-11,1168.42,1193.55,1162.57,1190.18,469600,0,0
2009-02-12,1183.68,1187.35,1162.58,1179.84,488000,0,0
2009-02-13,1179.63,1192.48,1165.25,1192.44,574800,0,0
2009-02-16,1183.52,1199.5,1174.73,1175.47,509400,0,0
2009-02-17,1167.22,1167.22,1121.41,1127.19,546200,0,0
2009-02-18,1111.35,1120.65,1096.0,1113.19,598200,0,0
2009-02-19,1109.99,1121.27,1092.96,1107.1,641400,0,0
2009-02-20,1095.25,1102.44,1056.34,1065.95,587400,0,0
2009-02-23,1058.54,1099.55,1051.52,1099.55,396000,0,0
2009-02-24,1061.56,1071.93,1055.86,1063.88,576200,0,0
2009-02-25,1094.7,1095.73,1061.6,1067.08,735200,0,0
2009-02-26,1077.71,1100.45,1036.67,1054.79,575000,0,0
