Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,817.2,817.3,766.0,774.6,6325,0,0
2008-12-02,765.3,786.0,759.7,781.3,2791,0,0
2008-12-03,780.0,781.9,762.9,768.8,1393,0,0
2008-12-04,770.0,780.4,761.7,763.8,439,0,0
2008-12-05,764.5,769.6,740.0,750.5,606,0,0
2008-12-08,755.0,780.2,754.2,767.4,888,0,0
2008-12-09,775.0,776.5,762.3,772.4,573,0,0
2008-12-10,784.1,811.0,783.1,807.1,101,0,0
2008-12-11,803.4,832.1,801.0,824.9,235,0,0
2008-12-12,821.5,827.0,813.8,818.9,260,0,0
2008-12-15,828.0,842.0,824.0,835.4,182,0,0
2008-12-16,839.0,859.0,831.6,841.7,470,0,0
2008-12-17,854.4,880.8,849.3,867.5,73,0,0
2008-12-18,862.4,873.0,852.0,859.6,122,0,0
2008-12-19,846.6,852.1,833.3,836.4,242,0,0
2008-12-22,848.5,851.0,844.0,846.2,106,0,0
2008-12-23,848.0,848.0,835.0,837.2,235,0,0
2008-12-26,847.0,872.4,845.8,870.4,19,0,0
2008-12-29,882.9,882.9,875.0,874.6,88,0,0
2008-12-30,878.1,878.1,866.5,869.3,426,0,0
2009-01-02,881.5,881.5,868.9,878.8,35,0,0
2009-01-05,882.0,883.5,847.0,857.2,46,0,0
2009-01-06,855.1,867.6,840.0,865.4,35,0,0
2009-01-07,862.0,867.0,837.7,841.1,113,0,0
2009-01-08,837.9,861.0,837.9,853.9,101,0,0
2009-01-09,855.9,862.1,855.9,854.3,255,0,0
2009-01-12,844.4,844.4,815.4,820.3,123,0,0
2009-01-13,825.6,825.6,815.7,820.1,72,0,0
2009-01-14,825.9,827.1,814.0,808.2,20,0,0
2009-01-15,805.6,808.8,805.6,806.7,5,0,0
2009-01-16,834.0,842.5,834.0,839.3,16,0,0
2009-01-20,838.7,862.7,824.0,854.6,64,0,0
2009-01-21,850.5,852.6,843.8,849.6,20,0,0
2009-01-22,856.8,860.9,846.2,858.2,37,0,0
2009-01-23,875.0,899.1,875.0,895.3,57,0,0
2009-01-26,907.3,911.6,901.2,908.5,52,0,0
