Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,55308.27,56590.25,54575.71,55399.84,434690,0.0,0
2008-12-02,53110.58,54392.56,53110.58,54026.28,417085,0.0,0
2008-12-03,54667.27,54941.98,51004.48,51737.04,870067,0.0,0
2008-12-04,52286.45,52561.16,48257.37,49173.07,743993,0.0,0
2008-12-05,48623.65,50363.48,48165.8,50088.77,502473,0.0,0
2008-12-08,50821.32,52194.87,50088.76,51645.45,1171088,0.0,0
2008-12-09,50363.48,50455.05,47799.52,48165.8,1756326,0.0,0
2008-12-10,48898.36,51920.17,48806.79,51004.47,1598082,0.0,0
2008-12-11,52103.31,52194.88,50912.9,51096.04,1052020,0.0,0
2008-12-12,50821.33,50821.33,48165.8,48348.94,847978,0.0,0
2008-12-15,49814.06,53202.15,49539.35,53202.15,966624,0.0,0
2008-12-16,52652.73,54941.97,51828.6,54484.12,1163954,0.0,0
2008-12-17,55857.68,56407.1,53019.01,54575.7,933497,0.0,0
2008-12-18,54667.27,55125.12,49997.2,50821.33,1625238,0.0,0
2008-12-19,50455.05,52469.59,50180.34,52378.02,831630,0.0,0
2008-12-22,52927.43,53843.13,51370.74,51645.45,740102,0.0,0
2008-12-23,51004.47,51553.89,49173.07,49722.49,574129,0.0,0
2008-12-24,49447.78,49997.2,48532.08,48715.22,385563,0.0,0
2008-12-25,48715.22,48715.22,48715.22,48715.22,0,0.0,0
2008-12-26,48715.22,49905.63,48257.37,48715.22,330050,0.0,0
2008-12-29,49221.23,51061.28,48761.22,50877.27,583139,250.0,0
2008-12-30,51245.29,52073.31,50417.26,50601.27,555710,0.0,0
2008-12-31,50601.27,50601.27,50601.27,50601.27,0,0.0,0
2009-01-02,51521.29,52349.31,50785.27,52165.31,527430,0.0,0
2009-01-05,52993.33,53361.34,51981.3,53085.33,681468,0.0,0
2009-01-06,53177.33,56121.41,53085.33,55845.4,1272352,0.0,0
2009-01-07,56397.42,58513.47,55569.4,57961.46,1248323,0.0,0
2009-01-08,56581.42,59065.48,55753.4,57685.45,854239,0.0,0
2009-01-09,58053.45,58145.45,55845.39,56305.41,354083,0.0,0
2009-01-12,55661.4,58697.48,55569.4,57961.46,698193,0.0,0
2009-01-13,57961.45,59893.5,56305.41,58421.46,586280,0.0,0
2009-01-14,58881.48,59249.49,57593.44,58421.46,390483,0.0,0
2009-01-15,56765.42,57593.44,55201.38,55201.38,510871,0.0,0
2009-01-16,56305.41,60077.5,55937.4,58973.47,585381,0.0,0
2009-01-19,59433.49,63573.6,58881.48,61917.55,681014,0.0,0
2009-01-20,61181.53,63297.59,59433.49,61365.54,479013,0.0,0
2009-01-21,59157.48,62377.57,59157.48,60077.51,528593,0.0,0
2009-01-22,61457.54,61457.54,58329.46,59065.48,534166,0.0,0
2009-01-23,58605.47,58881.48,56857.43,57961.46,498205,0.0,0
2009-01-28,59065.48,62837.58,58973.48,61641.55,431631,0.0,0
2009-01-29,62101.56,64585.62,61733.55,64033.61,673380,0.0,0
2009-01-30,62377.57,63297.59,60721.52,61917.55,786087,0.0,0
2009-02-02,60813.53,61825.55,59157.49,59525.5,595048,0.0,0
2009-02-03,60169.51,62377.56,59801.5,61365.54,526918,0.0,0
2009-02-04,62561.57,63297.59,61917.56,62193.56,308002,0.0,0
2009-02-05,61273.54,62745.58,60997.53,61089.54,335071,0.0,0
2009-02-06,62469.56,62561.56,59709.49,60813.52,544817,0.0,0
2009-02-09,61365.54,62285.56,59341.49,59433.49,493779,0.0,0
2009-02-10,59893.5,60353.51,58421.46,59801.5,417215,0.0,0
2009-02-11,58421.46,59617.49,58237.45,58973.47,336457,0.0,0
2009-02-12,58697.47,59341.49,56949.43,58237.46,514327,0.0,0
2009-02-13,57777.45,59617.5,56673.42,59525.5,479379,0.0,0
2009-02-16,58605.47,61549.54,58513.47,58605.47,650205,0.0,0
2009-02-17,58421.46,60721.52,57961.45,58605.47,749428,0.0,0
2009-02-18,57961.45,59341.48,56673.41,58881.47,561551,0.0,0
2009-02-19,58881.48,59709.5,56857.43,58789.48,438323,0.0,0
2009-02-20,57317.43,57961.44,54649.36,57041.42,689980,0.0,0
2009-02-23,56029.4,57133.43,54649.37,56765.42,384238,0.0,0
2009-02-24,54373.36,55753.39,54373.36,55201.38,349265,0.0,0
2009-02-25,56673.42,56765.42,55017.38,55385.39,331169,0.0,0
2009-02-26,56121.4,56489.41,52441.31,52901.32,514274,0.0,0
2009-02-27,52901.32,53913.35,52441.31,52901.32,282103,0.0,0
2009-03-02,52165.31,52165.31,50141.26,50141.26,446949,0.0,0
2009-03-03,48761.22,51245.29,48577.22,50601.27,340416,0.0,0
2009-03-04,50141.26,51613.3,49037.23,51061.28,590181,0.0,0
2009-03-05,51613.3,53269.34,51337.29,52441.32,622872,0.0,0
2009-03-06,50693.27,55109.38,50693.27,54557.36,664427,0.0,0
2009-03-09,55293.38,55385.39,52625.32,54281.36,495591,0.0,0
2009-03-10,53269.33,53913.35,52901.32,53085.33,556330,0.0,0
2009-03-11,54281.36,55201.39,54005.36,54465.37,501779,0.0,0
2009-03-12,55017.37,56305.41,54649.37,55201.38,590834,0.0,0
2009-03-13,56121.41,57133.43,55293.39,55937.4,395087,0.0,0
2009-03-16,55661.39,56213.41,54557.36,55477.39,270290,0.0,0
2009-03-17,55937.4,57041.43,55385.39,56397.41,264255,0.0,0
2009-03-18,57317.43,57317.43,54373.36,54833.37,904641,0.0,0
2009-03-19,54465.36,54741.37,52165.3,52349.31,1098496,0.0,0
2009-03-20,53177.33,54373.36,52901.32,53821.35,737754,0.0,0
2009-03-23,54649.36,56213.4,54557.36,56121.4,154120,0.0,0
2009-03-24,57501.45,58789.48,56397.42,57961.46,684123,0.0,0
2009-03-25,58053.45,61181.53,58053.45,61181.53,887990,0.0,0
2009-03-26,61089.53,63389.59,59893.5,61641.55,752421,0.0,0
2009-03-27,61825.56,62561.58,59433.5,60629.53,482568,0.0,0
2009-03-30,59709.5,62101.56,59433.49,59433.49,391679,0.0,0
2009-03-31,60721.52,62929.58,59801.5,60261.51,582002,0.0,0
2009-04-01,61181.54,64861.63,60905.53,64861.63,823635,0.0,0
2009-04-02,66057.66,68081.71,65321.64,65781.65,792626,0.0,0
2009-04-03,66517.67,67161.69,64585.62,66609.67,482607,0.0,0
2009-04-06,65965.65,67621.7,65321.64,67621.7,535376,0.0,0
2009-04-07,67069.68,67805.7,66057.66,67805.7,334463,0.0,0
2009-04-08,67161.68,71853.79,66057.65,70381.76,874090,0.0,0
