Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-12-01,1865.74,1895.76,1838.1,1894.61,81800,0,0
2008-12-02,1856.97,1907.78,1846.53,1889.64,104200,0,0
2008-12-03,1903.43,1965.83,1902.94,1965.41,135000,0,0
2008-12-04,1992.72,2055.21,1985.2,2001.5,176000,0,0
2008-12-05,1984.26,2019.75,1975.71,2018.66,118400,0,0
2008-12-08,2049.16,2091.28,2038.19,2090.77,165000,0,0
2008-12-09,2100.77,2100.81,2036.89,2037.74,145400,0,0
2008-12-10,2025.03,2079.55,2005.56,2079.12,128200,0,0
2008-12-11,2072.58,2087.2,2028.73,2031.68,121600,0,0
2008-12-12,2014.58,2023.18,1932.27,1954.21,108200,0,0
2008-12-15,1977.03,1989.3,1936.56,1964.37,81600,0,0
2008-12-16,1948.86,1976.72,1907.83,1975.01,78400,0,0
2008-12-17,1983.84,2003.38,1971.82,1976.82,97200,0,0
2008-12-18,1978.97,2016.57,1958.97,2015.69,92200,0,0
2008-12-19,2006.21,2038.66,1997.12,2018.46,102200,0,0
2008-12-22,2016.45,2016.45,1965.35,1987.76,86800,0,0
2008-12-23,1990.05,1990.05,1895.18,1897.22,99000,0,0
2008-12-24,1873.58,1887.31,1850.85,1863.8,74400,0,0
2008-12-25,1865.72,1877.77,1832.35,1852.42,64600,0,0
2008-12-26,1852.91,1866.63,1840.19,1851.52,53200,0,0
2008-12-29,1846.3,1856.33,1815.41,1850.48,55000,0,0
2008-12-30,1851.91,1862.94,1826.98,1832.91,56400,0,0
2008-12-31,1834.95,1844.37,1814.75,1820.81,50400,0,0
2009-01-05,1849.02,1880.72,1844.09,1880.72,67200,0,0
2009-01-06,1878.83,1938.69,1871.97,1937.15,99000,0,0
2009-01-07,1938.97,1948.23,1920.52,1924.01,92400,0,0
2009-01-08,1890.24,1894.17,1862.26,1878.18,80400,0,0
2009-01-09,1875.16,1909.35,1875.16,1904.86,71200,0,0
2009-01-12,1897.7,1924.44,1886.83,1900.35,83600,0,0
2009-01-13,1880.87,1888.31,1861.81,1863.37,73800,0,0
2009-01-14,1862.31,1929.28,1862.31,1928.87,88000,0,0
2009-01-15,1912.77,1937.73,1902.54,1920.21,116000,0,0
2009-01-16,1928.92,1984.73,1928.92,1954.44,133000,0,0
2009-01-19,1971.0,2018.51,1966.19,1986.67,109400,0,0
2009-01-20,1981.15,1994.81,1956.1,1994.11,74600,0,0
2009-01-21,1965.94,2007.91,1960.53,1985.02,87200,0,0
2009-01-22,1996.09,2009.85,1980.44,2004.95,88200,0,0
2009-01-23,2001.17,2008.79,1986.35,1990.66,86000,0,0
2009-02-02,2008.13,2012.74,1987.13,2011.68,84800,0,0
2009-02-03,2011.77,2060.93,2005.02,2060.81,134400,0,0
2009-02-04,2068.09,2108.26,2067.79,2107.75,151800,0,0
2009-02-05,2106.83,2149.48,2082.6,2098.02,165400,0,0
2009-02-06,2102.08,2185.09,2102.08,2181.24,160800,0,0
2009-02-09,2211.32,2238.89,2196.71,2224.71,192400,0,0
2009-02-10,2218.49,2266.4,2197.01,2265.16,172600,0,0
2009-02-11,2230.49,2305.71,2218.3,2260.82,209400,0,0
2009-02-12,2265.79,2274.2,2191.89,2248.09,174000,0,0
2009-02-13,2249.19,2323.12,2236.18,2320.79,199800,0,0
2009-02-16,2338.76,2389.88,2328.18,2389.39,211400,0,0
2009-02-17,2387.35,2402.81,2316.93,2319.44,198200,0,0
2009-02-18,2271.26,2295.74,2206.06,2209.86,162400,0,0
2009-02-19,2224.49,2247.62,2190.47,2227.12,129800,0,0
2009-02-20,2234.36,2262.33,2206.21,2261.48,129000,0,0
2009-02-23,2249.29,2313.59,2219.71,2305.78,160200,0,0
2009-02-24,2273.75,2295.59,2193.27,2200.65,183800,0,0
2009-02-25,2222.51,2234.02,2142.6,2206.57,152400,0,0
2009-02-26,2201.67,2237.55,2102.35,2121.25,148600,0,0
2009-02-27,2100.06,2123.24,2064.92,2082.85,123000,0,0
2009-03-02,2066.23,2102.11,2052.99,2093.45,87400,0,0
2009-03-03,2047.21,2088.63,2037.02,2071.43,97800,0,0
2009-03-04,2076.62,2201.73,2076.62,2198.11,154800,0,0
2009-03-05,2220.15,2241.76,2173.49,2221.08,182400,0,0
2009-03-06,2180.79,2221.04,2171.67,2193.01,123800,0,0
2009-03-09,2205.75,2232.67,2116.45,2118.75,124400,0,0
2009-03-10,2097.14,2159.27,2088.16,2158.57,84000,0,0
2009-03-11,2199.98,2203.53,2133.14,2139.02,103800,0,0
2009-03-12,2127.73,2136.79,2086.02,2133.88,87200,0,0
2009-03-13,2148.42,2166.02,2124.98,2128.85,83600,0,0
2009-03-16,2122.41,2158.9,2108.61,2153.29,73400,0,0
2009-03-17,2156.77,2225.19,2151.78,2218.33,130800,0,0
2009-03-18,2227.98,2255.01,2221.59,2223.73,147000,0,0
2009-03-19,2227.34,2268.14,2220.16,2265.76,145800,0,0
2009-03-20,2272.44,2294.12,2250.41,2281.09,150600,0,0
2009-03-23,2286.25,2329.18,2276.81,2325.48,160000,0,0
2009-03-24,2359.68,2369.45,2327.43,2338.42,162800,0,0
2009-03-25,2333.16,2355.69,2291.36,2291.55,144800,0,0
2009-03-26,2296.05,2362.05,2274.9,2361.7,158600,0,0
2009-03-27,2380.63,2392.77,2361.09,2374.44,186600,0,0
2009-03-30,2377.96,2380.19,2348.53,2358.04,139800,0,0
2009-03-31,2313.88,2375.71,2299.16,2373.21,142600,0,0
2009-04-01,2380.98,2422.62,2380.98,2408.02,179800,0,0
2009-04-02,2417.22,2450.0,2417.11,2425.29,188400,0,0
2009-04-03,2446.12,2456.81,2406.5,2419.78,170200,0,0
2009-04-07,2422.1,2449.54,2407.51,2439.18,124200,0,0
2009-04-08,2429.88,2435.39,2346.54,2347.39,146800,0,0
2009-04-09,2345.01,2380.94,2331.88,2379.88,113200,0,0
2009-04-10,2400.01,2444.98,2392.8,2444.23,157400,0,0
2009-04-13,2468.08,2522.45,2464.06,2513.7,191400,0,0
2009-04-14,2512.01,2532.09,2495.34,2527.18,165200,0,0
2009-04-15,2514.59,2542.54,2485.93,2536.06,181000,0,0
2009-04-16,2542.34,2549.31,2497.12,2534.13,186200,0,0
2009-04-17,2524.63,2539.35,2481.9,2503.94,161600,0,0
2009-04-20,2500.17,2559.04,2497.32,2557.46,148000,0,0
2009-04-21,2523.26,2552.6,2499.6,2535.83,164600,0,0
2009-04-22,2548.1,2579.22,2449.9,2461.35,194000,0,0
2009-04-23,2440.68,2474.15,2422.79,2463.95,126200,0,0
2009-04-24,2477.16,2481.53,2445.66,2448.59,113800,0,0
2009-04-27,2443.44,2452.93,2393.16,2405.35,113000,0,0
2009-04-28,2382.88,2411.44,2372.34,2401.44,94800,0,0
2009-04-29,2401.66,2477.73,2395.48,2468.19,126600,0,0
2009-04-30,2477.93,2491.07,2461.36,2477.57,131200,0,0
2009-05-04,2486.69,2560.54,2486.23,2559.91,153400,0,0
